Perceived_Ease_of_Use,Internet_Access,Peer_Influence,Financial_Status,Prior_Experience,Privacy_Concern,Family_Norms,Barrier_Label
3,3,4,1,4,2,2,Psychological
2,3,3,3,2,2,3,Technological
2,2,4,3,2,4,2,Technological
3,2,1,4,3,3,2,Social
3,3,4,1,3,3,3,Financial
3,3,3,2,2,3,3,Financial
3,2,2,3,2,3,4,Psychological
3,2,1,3,2,3,1,Social
2,5,1,3,3,3,1,Social
2,2,3,3,2,3,3,Technological
3,3,3,3,3,2,3,Psychological
4,3,3,3,3,3,2,Social
4,3,3,4,3,1,3,Social
3,3,3,3,3,1,4,Psychological
3,2,2,2,3,3,2,Social
4,3,1,3,2,3,1,Social
2,4,4,3,2,2,3,Psychological
3,2,1,4,3,3,1,Social
4,1,3,4,2,2,3,Psychological
3,3,5,4,3,1,2,Psychological
3,4,3,1,2,2,3,Financial
2,3,3,3,2,2,4,Technological
2,2,3,2,4,3,4,Financial
4,3,2,5,3,2,3,Psychological
2,3,2,3,2,3,3,Psychological
4,4,3,4,3,2,2,Psychological
4,2,3,3,3,2,4,Psychological
3,3,1,2,4,3,3,Psychological
4,3,3,1,4,5,3,Financial
4,2,3,2,4,3,3,Financial
1,2,4,3,3,3,3,Technological
1,1,3,3,1,3,2,Technological
3,3,4,4,3,1,3,Psychological
2,2,3,3,2,2,2,Psychological
3,3,2,3,3,3,1,Social
3,2,3,1,3,2,4,Financial
2,2,3,1,3,3,3,Financial
3,3,4,2,3,3,4,Financial
4,2,1,1,3,2,3,Social
3,2,3,3,2,1,4,Psychological
3,3,3,3,3,2,3,Psychological
4,3,1,5,3,4,2,Social
3,1,3,3,3,2,4,Technological
2,1,2,2,2,3,3,Technological
4,3,2,2,3,3,3,Financial
3,3,1,3,2,3,3,Social
3,1,2,3,2,3,5,Technological
2,1,4,2,2,4,2,Technological
4,3,3,2,3,4,3,Financial
4,4,3,4,2,1,2,Psychological
3,3,4,1,3,3,3,Financial
3,2,2,3,4,3,2,Social
1,2,2,2,2,4,3,Technological
3,4,3,3,3,3,3,Financial
4,3,4,3,3,3,4,Financial
3,3,2,3,4,2,2,Psychological
4,3,2,1,3,2,4,Financial
3,3,3,3,3,2,2,Psychological
3,3,1,3,2,4,1,Social
3,3,2,2,2,3,4,Psychological
2,2,2,2,3,3,1,Social
4,4,2,3,3,1,3,Psychological
2,1,3,5,1,3,2,Technological
1,1,4,3,2,3,3,Technological
2,1,3,4,2,2,4,Technological
2,3,3,3,2,4,3,Financial
2,1,4,3,3,3,2,Technological
3,3,1,2,3,2,2,Social
2,4,3,3,2,1,4,Psychological
2,4,3,2,3,3,3,Financial
3,3,2,3,4,1,3,Psychological
4,4,3,2,4,4,3,Financial
3,4,2,2,3,3,1,Social
2,2,3,3,2,3,4,Technological
4,3,3,1,2,2,2,Financial
3,3,2,1,4,3,3,Financial
1,2,3,3,2,3,2,Technological
3,3,2,1,1,2,4,Financial
3,4,3,1,2,3,2,Financial
3,3,3,2,2,3,3,Financial
1,1,2,3,1,2,4,Technological
3,4,2,3,4,1,2,Psychological
1,3,2,2,3,4,3,Technological
3,3,2,4,3,3,1,Social
3,3,2,3,3,3,2,Social
3,3,2,3,3,2,2,Psychological
2,3,2,3,3,4,2,Social
3,2,2,3,3,3,3,Technological
4,4,1,4,3,3,1,Social
3,4,2,2,2,1,4,Psychological
2,1,4,3,1,3,2,Technological
4,3,3,2,2,3,3,Financial
4,2,4,2,3,3,3,Financial
2,2,3,5,2,2,3,Technological
2,2,2,3,2,4,3,Technological
2,3,1,3,3,2,2,Social
3,3,2,5,3,3,2,Social
2,1,2,2,2,4,3,Technological
1,1,4,3,1,3,3,Technological
3,3,2,2,3,3,3,Financial
2,1,3,4,2,2,4,Technological
2,2,3,2,1,3,2,Technological
2,3,4,2,3,3,4,Financial
3,3,3,1,3,3,3,Financial
3,4,3,1,4,3,4,Financial
4,3,4,2,4,3,4,Financial
2,3,3,4,1,4,3,Technological
4,3,4,2,2,1,3,Psychological
3,4,4,2,3,2,3,Financial
3,4,4,2,3,3,3,Financial
2,2,2,5,4,3,2,Social
2,1,3,4,2,3,4,Technological
4,4,2,2,3,3,3,Social
3,3,1,4,3,2,1,Social
3,4,3,2,4,2,2,Psychological
2,4,4,1,3,3,3,Financial
3,2,3,4,2,2,3,Psychological
2,1,3,4,3,4,4,Technological
4,3,2,3,3,2,1,Social
1,2,3,2,2,3,4,Technological
2,2,4,2,3,2,3,Technological
3,3,2,2,3,3,5,Financial
3,4,2,3,3,3,1,Social
4,3,2,3,3,2,2,Social
3,2,4,3,4,3,2,Technological
3,2,2,4,2,4,4,Technological
2,1,2,5,3,4,2,Social
2,3,2,2,3,3,4,Financial
2,2,3,3,4,2,3,Psychological
2,1,3,3,2,3,3,Technological
2,3,1,2,3,4,2,Social
2,1,2,3,2,4,3,Technological
3,3,3,3,3,1,3,Psychological
4,4,1,3,3,4,2,Social
2,2,3,3,2,4,3,Technological
3,4,3,1,3,3,4,Financial
2,2,2,3,2,2,3,Technological
3,3,4,3,4,2,2,Financial
3,4,4,5,2,2,3,Psychological
4,2,1,2,3,2,3,Financial
3,3,2,2,3,2,1,Social
3,2,2,2,3,4,1,Social
3,4,1,3,3,3,2,Social
2,1,3,2,1,2,3,Technological
3,4,4,3,4,1,2,Psychological
2,2,2,3,2,4,2,Technological
1,2,3,3,2,4,4,Technological
3,3,3,2,3,2,2,Financial
3,2,2,3,4,1,2,Psychological
3,3,5,3,3,1,2,Psychological
